,Artist,Song,Year
1058,Art Hickman,Darlin',1921
1059,Henry Burr & Albert Campbell,Feather Your Nest,1921
1060,Vernon Dalhart,Tuck Me to Sleep (In My Old 'Tucky Home),1921
1061,Orquestra de Eduardo Souto,Paixao de Artista,1921
1062,Patrick Waddington,Night May Have It's Sadness,1921
1063,Paul Whiteman,Gypsy Blues,1921
1064,Paul Whiteman,Canadian Capers,1921
1065,Benson Orchestra of Chicago,Bimini Bay,1921
1066,Paul Whiteman,Do You Ever Think of Me?,1921
1067,Fanny Brice,My Man,1922
1068,Al Jolson,April Showers,1922
1069,Paul Whiteman,Three O'Clock in The Morning,1922
1070,Al Jolson,Toot Toot Tootsie (Goodbye),1922
1071,Paul Whiteman,I'll Build a Stairway to Paradise,1922
1072,Paul Whiteman,Hot Lips,1922
1073,Paul Whiteman,Stumbling,1922
1074,Paul Whiteman,Do it Again,1922
1075,Al Jolson,Angel Child,1922
1076,Ray Miller & his Orchestra,Sheik of Araby,1922
1077,Henry Burr,My Buddy,1922
1078,Isham Jones,On The Alamo,1922
1079,Gallagher & Shean,Mr Gallagher & Mr Shean,1922
1080,Eck Robertson,Sally Gooden,1922
1081,Okeh Laughing Record,The Okeh Laughing Record,1922
1082,Peerless Quartet,Way Down Yonder in New Orleans,1922
1083,Al Jolson,Give Me My Mammy,1922
1084,Club Royal Orchestra,The Sheik,1922
1085,Marion Harris,I'm Just Wild About Harry,1922
1086,Nora Bayes,All Over Nothing at All,1922
1087,Ernest Hare & Billy Jones,In the Little Red School House,1922
1088,Kid Ory,Orly's Creole Trombone,1922
1089,Ernest Hare & Billy Jones,Mr Gallagher & Mr Shean,1922
1090,Bahiano,Luar de Paqueta,1922
1091,Ernest Hastings,My Word You Do Look Queer,1922
1092,IV 'Bud' Sheppard,Rose of The Rio Grande,1922
1093,Mamie Smith,Lonesome Mama Blues,1922
1094,Lambert Murphy,I Dream Of Jeannie With The Light Brown Hair,1922
1095,Paul Whiteman,Some Sunny Day,1922
1096,Carl Fenton,I'll Build a Stairway to Paradise,1922
1097,Fanny Brice,I'm an Indian,1922
1098,Paul Whiteman,Crinoline Days,1922
1099,Paul Whiteman,Journey's End,1922
1100,Bar Harbor Society Orchestra,Chicago (That Toddlin' Town),1922
1101,Marion Harris,Aggravatin' Papa,1922
1102,Marion Harris,Some Sunny Day,1922
1103,Marion Harris,Rose of The Rio Grande,1922
1104,Zez Confrey & his Orchestra,Kitten On the Keys,1922
1105,Aileen Stanley,Sweet Indiana Home,1922
1106,Edwin Dale,In May Time (I Learned to Love),1922
1107,Isham Jones,The World Is Waiting For The Sunrise,1922
1108,Lucy Isabelle Marsh,Song of Love,1922
1109,indio,Quadra de Amor,1922
1110,John Steel,Lady of the Evening,1922
1111,Marion Harris,Nobody Lied (When They Said I Cried Over You),1922
1112,Nora Bayes,"Lovin' Sam, The Sheik of Alabam",1922
1113,Paul Whiteman,Georgia,1922
1114,Marion Harris,Sweet Indiana Home,1922
1115,Joseph Smith & his Orchestra,Three O'Clock in The Morning,1922
1116,Bessie Smith,Down Hearted Blues,1923
1117,Isham Jones,Swingin' Down the Lane,1923
1118,Billy Jones,Yes! We Have No Bananas,1923
1119,Paul Whiteman,Parade of the Wooden Soldiers,1923
1120,Eddie Cantor,"No, No Nora",1923
1121,Paul Whiteman,Bambalina,1923
1122,Fiddlin' John Carson,Little Old Log Cabin in the Lane,1923
1123,Art Landry & his Orchestra,Dreamy Melody,1923
1124,Van & Schenck,Carolina in the Morning,1923
1125,Louis Armstrong,Dippermouth Blues,1923
1126,Ben Selvin,Yes! We Have No Bananas,1923
1127,Billy Murray & Ed Smalle,That Old Gang of Mine,1923
1128,Carl Fenton,Love Sends a Little Gift of Roses,1923
1129,Isham Jones,Who's Sorry Now?,1923
1130,WC Handy,St Louis Blues,1923
1131,Bessie Smith,T'ain't Nobody's Business If I Do,1923
1132,Jelly Roll Morton,Kansas City Stomp,1923
1133,King Oliver's Jazz Band,Canal Street Blues,1923
1134,Clarence Williams,Wild Cat Blues,1923
1135,King Oliver's Jazz Band,Chimes Blues,1923
1136,Paul Whiteman,Carolina in the Morning,1923
1137,Marion Harris,Dirty Hands! Dirty Face!,1923
1138,Benny Krueger & his Orchestra,I Cried For You,1923
1139,Manhattan Harmony Four,Lift Every Voice,1923
1140,Melville Gideon,Horsey Keep Your Tail Up,1923
1141,Orquestra Brasil-America,Tristezas do Jeca,1923
1142,Henry Burr,Faded Love Letters,1923
1143,Isham Jones,Farewell Blues,1923
1144,Ethel Waters,Georgia Blues,1923
1145,Virginians,(I Wish I Could) Shimmy Like My Sister Kate,1923
1146,Bessie Smith,Baby Won't You Please Come Home,1923
1147,Eddie Cantor,He Loves It,1923
1148,Bessie Smith,Aggravatin' Papa,1923
1149,Marion Harris,Carolina in the Morning,1923
1150,Blossom Seeley,Way Down Yonder in New Orleans,1923
1151,Fiddlin' John Carson,You'll Never Miss Your Mother Until She's Gone,1923
1152,Eddie Cantor,I've Got the Yes We Have No Bananas Blues,1923
1153,Paul Specht & his Orchestra,Goodbye,1923
1154,The Georgians,(I Wish I Could) Shimmy Like My Sister Kate,1923
1155,Gene Rodemich & his Orchestra,Wolverine Blues,1923
1156,Ted Lewis & his Orchestra,Tin Roof Blues,1923
1157,Paul Whiteman,Last Night On the Back Porch,1923
1158,Paul Whiteman,Wonderful One,1923
1159,Paul Whiteman,I Love You,1923
1160,Ernest Hare & Billy Jones,Barney Google,1923
1161,Isham Jones,Broken Hearted Melody,1923
1162,Ben Bernie,Swingin' Down the Lane,1923
1163,Ben Selvin,Indiana Moon,1923
1164,Felix Mayol,Elle Vendait Des P'tits Gateaux,1923
1165,George Gershwin,Rhapsody in Blue,1924
1166,Isham Jones,It Had to Be You,1924
1167,Al Jolson,"California, Here I Come",1924
1168,Arthur Gibbs & his Gang,Charleston,1924
1169,Fred Waring & the Pennsylvanians,Sleep,1924
1170,Ted Weems,Somebody Stole My Gal,1924
1171,Paul Whiteman,Linger Awhile,1924
1172,Paul Whiteman,Somebody Loves Me,1924
1173,Wendell Hall,It Ain't Gonna Rain No Mo',1924
1174,Isham Jones,Spain,1924
1175,Fred Waring & the Pennsylvanians,Memory Lane,1924
1176,Jelly Roll Morton,King Porter Stomp,1924
1177,Paul Whiteman,What'll I Do?,1924
1178,Al Jolson,I Wonder What's Become of Sally?,1924
1179,Cliff Edwards (Ukelele Ike),It Had to Be You,1924
1180,Vernon Dalhart,Wreck of the Old 97,1924
1181,Paul Whiteman,Limehouse Blues,1924
1182,Marion Harris,Jealous,1924
1183,Fiddlin' John Carson,"Fare You Well, Old Joe Clark",1924
1184,Ted Lewis & his Orchestra,June Night,1924
1185,Isham Jones,Nobody's Sweetheart,1924
1186,Al Jolson,Mandalay,1924
1187,Uncle Dave Macon,Keep My Skillet Good & Greasy,1924
1188,Anne Zeigler & Webster Booth,The Second Minuet,1924
1189,Bahiano & Maria Marzulo,O Casaco da Mulata,1924
1190,Paul Whiteman,There's Yes! Yes! In Your Eyes,1924
1191,Ernest Hare & Billy Jones,Hinky Dinky Parlay Voo,1924
1192,Marion Harris,There'll Be Some Changes Made,1924
1193,Ted Lewis & his Orchestra,There'll Be Some Changes Made,1924
1194,Benny Krueger & his Orchestra,Deep In My Heart,1924
1195,Franklyn Baur,Deep In My Heart,1924
1196,Aileen Stanley,Everybody Loves My Baby,1924
1197,Marion Harris,How Come You Do Me Like You Do,1924
1198,Clarence Williams,T'ain't Nobody's Business If I Do,1924
1199,Paul Whiteman,Rose Marie,1924
1200,Marion Harris,It Had to Be You,1924
1201,Al Jolson,The one I love belongs to someone else,1924
1202,Isham Jones,"Some Other Day, Some Other Girl",1924
1203,Al Jolson,I'm Goin' South,1924
1204,Vincent Lopez,I Want to Be Happy,1924
1205,Fernando,Fuba,1924
1206,Bert Firman,Pasadena,1924
1207,Cliff Edwards (Ukelele Ike),Fascinating Rhythm,1924
1208,Paul Whiteman,Why Did I Kiss That Girl?,1924
1209,Paul Whiteman,Spain,1924
1210,Paul Whiteman,Someone Loves You After All,1924
1211,Al Jolson,Follow the Swallow,1924
1212,Dolly Kay,Hard Hearted Hannah,1924
1213,Eddie Cantor,Charley My Boy,1924
1214,Ben Bernie,Sweet Georgia Brown,1925
1215,Vernon Dalhart,The Prisoner's Song,1925
1216,Bessie Smith,St Louis Blues,1925
1217,Ma Rainey,See See Rider Blues,1925
1218,Eddie Cantor,If You Knew Susie (Like I Know Susie),1925
1219,Marion Harris,Tea For Two,1925
1220,Al Jolson,All Alone,1925
1221,Isham Jones & Ray Miller,I'll See You in My Dreams,1925
1222,Ernest Van Stoneman,The Titanic,1925
1223,Gene Austin,Yes Sir! That's My Baby,1925
1224,Isham Jones,Remember,1925
1225,Ethel Waters,Dinah,1925
1226,Paul Whiteman,All Alone,1925
1227,John McCormack,All Alone,1925
1228,Fred Waring & the Pennsylvanians,Collegiate,1925
1229,Paul Whiteman,Charleston,1925
1230,Ben Selvin,"Oh, How I Miss You Tonight",1925
1231,Ted Lewis & his Orchestra,O! Katharina,1925
1232,Cliff Edwards (Ukelele Ike),Paddlin' Madelin' Home,1925
1233,Ben Selvin,Manhattan,1925
1234,Marian Anderson,Nobody Knows the Trouble I've Seen,1925
1235,Associated Glee Clubs of America,Adeste Fideles,1925
1236,John McCormack,When You & I Were Seventeen,1925
1237,Bessie Smith,I Ain't Gonna Play No Second Fiddle,1925
1238,Ben Selvin,Sentimental Me,1925
1239,Paul Whiteman,"Oh, Lady Be Good",1925
1240,John McCormack,Moonlight & Roses,1925
1241,Blossom Seeley,Yes Sir! That's My Baby,1925
1242,Paul Whiteman,Manhattan,1925
1243,The California Ramblers,Charleston,1925
1244,Charlie Poole,Don't Let Your Deal Go Down,1925
1245,Berthe Sylva,Les Roses Blanches,1925
1246,Aracy Cortes,A Casinha (A Casinha da Colina),1925
1247,Cyril Norman,When Sergeant Major's On Parade,1925
1248,Carl Fenton,Alone At Last,1925
1249,Isham Jones,Manhattan,1925
1250,Paul Robeson,Steal Away,1925
1251,Ethel Waters,Sweet Georgia Brown,1925
1252,Nick Lucas,"Brown Eyes, Why are You Blue?",1925
1253,Gene Austin,Yearning (Just for You),1925
1254,Blossom Seeley,Alabamy Bound,1925
1255,Savoy Havana Band,Ogo-Pogo,1925
1256,The Revelers,Dinah,1925
1257,Paul Whiteman,"Honey, I'm in Love With You",1925
1258,Bessie Smith,Careless Love Blues,1925
1259,Gertrude Lawrence,Poor Little Rich Girl,1925
1260,Clarence Williams,Cake Walking Babies (From Home),1925
1261,Ernest Hare & Billy Jones,I Miss My Swiss (My Swiss Miss Misses Me),1925
1262,Green Brothers Novelty Band,Sometime,1925
1263,Gene Austin,"Bye Bye, Blackbird",1926
1264,George Olsen,Always,1926
1265,Jan Garber,Baby Face,1926
1266,Al Jolson,I'm Sitting On Top of the World,1926
1267,Al Jolson,"When the Red, Red Robin Comes Bob-Bob-Bobbin' Along",1926
1268,Paul Whiteman,The Birth of the Blues,1926
1269,Paul Whiteman,Valencia,1926
1270,Vincent Lopez,Always,1926
1271,Ben Bernie,Sleepy Time Gal,1926
1272,Johnny Hamp & The Kentucky Serenaders,Black Bottom,1926
1273,Jack Smith,"Gimme a Lil' Kiss, Will Ya, Huh?",1926
1274,Johnny Marvin,Breezin' Along With the Breeze,1926
1275,Gene Austin,"Five Foot Two, Eyes of Blue",1926
1276,Louis Armstrong,Heebie Jeebies,1926
1277,Fred Astaire & George Gershwin,Fascinating Rhythm,1926
1278,Jelly Roll Morton,Black Bottom Stomp,1926
1279,George Olsen,Who?,1926
1280,Louis Armstrong,Muskrat Ramble,1926
1281,Vincent Lopez,Show Me the Way to Go Home,1926
1282,Gertrude Lawrence,"Do, Do, Do",1926
1283,George Olsen,Sunny,1926
1284,Ted Lewis & his Orchestra,I've Found a New Baby,1926
1285,Ben Selvin,Valencia,1926
1286,Pawlo Humeniuk,Dance Under the Willows,1926
1287,Paul Robeson,"Swing Low, Sweet Chariot",1926
1288,Fernando & Romeu Silva,"Chua, Chua",1926
1289,Blind Blake,Come On Boys Lets Do That Messin' Around,1926
1290,Isham Jones,I Lost My Heart in Monterey (When I Found You),1926
1291,Nick Lucas,Sleepy Time Gal,1926
1292,Lewis James,Am I Wasting My Time On You,1926
1293,Duke Ellington,East St Louis Toodle OO,1926
1294,Louis Armstrong,Big Butter & Egg Man,1926
1295,Ernest Hare & Billy Jones,That Certain Party,1926
1296,Cliff Edwards (Ukelele Ike),Dinah,1926
1297,Ipana Troubadors,Baby Face,1926
1298,Jack Smith,Baby Face,1926
1299,Gene Austin,Ya Gotta Know How To Love,1926
1300,Irving Kaufman,Tonight You Belong to Me,1926
1301,Gid Tanner & his Skillet Lickers,Turkey In De Straw,1926
1302,Paul Whiteman,Moonlight on the Ganges,1926
1303,Ben Bernie,Reaching for the Moon,1926
1304,George Olsen,Horses,1926
1305,Pedro Celestino,Ave Maria,1926
1306,Bessie Smith,Lost Your Head Blues,1926
1307,Gene Austin,Sleepy Time Gal,1926
1308,Ben Selvin,Barcelona,1926
1309,Isham Jones,It Made You Happy When You Made Me Cry,1926
1310,Al Jolson,At Peace with the World,1926
1311,Ruth Etting,Lonesome & Sorry,1926
1312,Hoagy Carmichael,Stardust,1927
1313,Gene Austin,My Blue Heaven,1927
1314,Duke Ellington,Black & Tan Fantasy,1927
1315,Frankie Trumbauer,Singin' the Blues,1927
1316,Jack Smith,Me & My Shadow,1927
1317,Blind Willie Johnson,"Dark Was the Night, Cold Was the Ground",1927
1318,Blind Lemon Jefferson,Matchbox Blues,1927
1319,Bix Beiderbecke,In a Mist,1927
1320,Gertrude Lawrence,Someone to Watch Over Me,1927
1321,Sophie Tucker & Ted Lewis,Some of These Days,1927
1322,Guy Lombardo,Charmaine,1927
1323,Red Nichols,"Ida, Sweet As Apple Cider",1927
1324,Ben Bernie,Ain't She Sweet?,1927
1325,Ben Selvin,Blue Skies,1927
1326,Paul Whiteman,In a Little Spanish Town,1927
1327,Gene Austin,Tonight You Belong to Me,1927
1328,George Olsen,At Sundown (When Love is Calling Me Home),1927
1329,Roger Wolfe Kahn & his Orchestra,Russian Lullaby,1927
1330,Nick Lucas,I'm Looking Over a Four Leaf Clover,1927
1331,George Olsen,Varsity Drag,1927
1332,Moran & Mack,"Two Black Crows, Parts 1 & 2 (The Early Bird Catches The Worm)",1927
1333,Ben Bernie,I'm Looking Over a Four Leaf Clover,1927
1334,Gene Austin,Forgive Me,1927
1335,Paul Whiteman,My Blue Heaven,1927
1336,Vernon Dalhart,Lindbergh (Eagle of the USA),1927
1337,Vernon Dalhart,Lucky Lindy,1927
1338,DeFord Bailey,Pan American Blues,1927
1339,Blind Lemon Jefferson,Black Snake Moan,1927
1340,Louis Armstrong,Savoy Blues,1927
1341,Nat Shilkret,Flapperette,1927
1342,Paul Whiteman,Side By Side,1927
1343,George Olsen,Blue Skies,1927
1344,Gastao Formenti,Anoitecer,1927
1345,George Olsen,The Best Things in Life Are Free,1927
1346,Fred Waring & the Pennsylvanians,Sweetheart of Sigma Chi,1927
1347,Bix Beiderbecke,I'm Coming Virginia,1927
1348,Vaughn Deleath,Are You Lonesome Tonight?,1927
1349,Irving Kaufman,The Little White House (At the End of Honeymoon Lane),1927
1350,Ipana Troubadors,Mary Lou,1927
1351,Lewis James,Charmaine,1927
1352,Sophie Tucker,I Ain't Got Nobody,1927
1353,Nick Lucas,Side By Side,1927
1354,Dock Boggs,Country Blues,1927
1355,Nat Shilkret,Why Do I Love You?,1927
1356,Paul Whiteman,My Heart Stood Still,1927
1357,Ben Bernie,Can't Help Lovin' Dat Man,1927
1358,Paul Whiteman,It All Depends On You,1927
1359,Nat Shilkret,All Alone Monday,1927
1360,Paul Whiteman,When Day is Done,1927
1361,Jimmie Rodgers,T For Texas (Blue Yodel No 1),1928
1362,Louis Armstrong,West End Blues,1928
1363,Helen Kane,I Wanna Be Loved By You,1928
1364,Pinetop Smith,Pinetop's Boogie Woogie,1928
1365,Paul Robeson,Ol' Man River,1928
1366,Blind Willie McTell,Statesboro Blues,1928
1367,Al Jolson,Sonny Boy,1928
1368,The Carter Family,Wildwood Flower,1928
1369,Al Jolson,My Mammy,1928
1370,The Carter Family,Keep on the Sunny Side,1928
1371,Bertolt Brecht,Mack the Knife,1928
1372,Ruth Etting,Love Me Or Leave Me,1928
1373,Paul Whiteman,Among My Souvenirs,1928
1374,Al Jolson,There's a Rainbow Round My Shoulder,1928
1375,Gene Austin,Jeannine (I Dream of Lilac Time),1928
1376,Fred Waring & the Pennsylvanians,"Laugh, Clown, Laugh!",1928
1377,Marion Harris,The Man I Love,1928
1378,Cliff Edwards (Ukelele Ike),I Can't Give You Anything But Love (Dear),1928
1379,Joe & Cleoma Falcon,Allons a Lafayette,1928
1380,Jimmie Rodgers,In the Jailhouse Now,1928
1381,Paul Whiteman,Ramona,1928
1382,Helen Morgan,Bill,1928
1383,Paul Whiteman,Together,1928
1384,Mississippi John Hurt,Stagger Lee,1928
1385,Louis Armstrong,Struttin' With Some Barbecue,1928
1386,Fred Waring & the Pennsylvanians,I Scream-You Scream-We All Scream For Ice Cream,1928
1387,Gene Austin,My Melancholy Baby,1928
1388,Gene Austin,Ramona,1928
1389,Bessie Smith,Empty Bed Blues,1928
1390,Ben Bernie,Let's Misbehave,1928
1391,Bing Crosby,Ol' Man River,1928
1392,Mississippi John Hurt,Frankie,1928
1393,Emmett Miller & his Georgia Crackers,Lovesick Blues,1928
1394,Paul Whiteman,My Angel,1928
1395,Leroy Carr,"How Long, How Long Blues",1928
1396,Louis Armstrong,Weather Bird,1928
1397,Blind Lemon Jefferson,See That My Grave is Kept Clean,1928
1398,Ruth Etting,The Song is Ended (But The Melody Lingers on),1928
1399,Furry Lewis,Casey Jones,1928
1400,Ted Lewis & his Orchestra,Is Everybody Happy Now?,1928
1401,Maurice Ravel,Bolero,1928
1402,Cliff Edwards (Ukelele Ike),Just Like a Melody Out of The Sky,1928
1403,Nat Shilkret,The Sidewalks of New York,1928
1404,Memphis Jug Band,"Stealin', Stealin'",1928
1405,George Metaxa,"Sweet Sue, Just You",1928
1406,Aracy Cortes,Jura,1928
1407,Harry McClintock,Big Rock Candy Mountain,1928
1408,Earl Burtnett & his Los Angeles Biltmore Hotel Orchestra,"Sweet Sue, Just You",1928
1409,Jimmie Rodgers,Brakeman's Blues,1928
1410,Eddie Cantor,Makin' Whoopee,1929
1411,Fats Waller,Ain't Misbehavin',1929
1412,Ethel Waters,Am I Blue?,1929
1413,Charley Patton,Pony Blues,1929
1414,Cliff Edwards (Ukelele Ike),Singin' in the Rain,1929
1415,Nick Lucas,Tip Toe Thru' The Tulips With Me,1929
1416,Rudy Vallee & his Connecticut Yankees,Honey,1929
1417,Louis Armstrong,When You're Smiling,1929
1418,Maurice Chevalier,Louise,1929
1419,Bob Haring & his Orchestra,Pagan Love Song,1929
1420,Guy Lombardo,Sweethearts On Parade,1929
1421,Paul Whiteman,Great Day,1929
1422,Gene Austin,Carolina Moon,1929
1423,George Olsen,A Precious Little Thing Called Love,1929
1424,Al Jolson,Little Pal,1929
1425,Leo Reisman,The Wedding of the Painted Doll,1929
1426,Louis Armstrong,St Louis Blues,1929
1427,Bessie Smith,Nobody Knows You When You're Down & Out,1929
1428,Johnny Hamp & The Kentucky Serenaders,If I Had a Talking Picture of You,1929
1429,Jimmie Rodgers,Waiting For the Train,1929
1430,Coon-Sanders Orchestra,Little Orphan Annie,1929
1431,Louis Armstrong,(What Did I Do to Be So) Black & Blue,1929
1432,Mario Reis,Gosto Que Me Enrosco,1929
1433,Peter Dawson,The Admiral's Broom,1929
1434,Leo Reisman,With a Song In My Heart,1929
1435,Guy Lombardo,College Medley Fox Trot,1929
1436,Fats Waller,Handful of Keys,1929
1437,Al Jolson,Liza (All the Clouds'll Roll Away),1929
1438,Paul Whiteman & Bing Crosby,If I Had a Talking Picture of You,1929
1439,Louis Armstrong,St James Infirmary,1929
1440,Duke Ellington,The Mooche,1929
1441,Arnold Johnson & his Orchestra,Breakaway,1929
1442,Ruth Etting,Exactly Like You,1929
1443,Rudy Vallee & his Connecticut Yankees,Coquette,1929
1444,Cliff Edwards (Ukelele Ike),"Just You, Just Me",1929
1445,Arden-Ohman Orchestra,Strike Up the Band,1929
1446,Rudy Vallee & his Connecticut Yankees,Marie,1929
1447,Rudy Vallee & his Connecticut Yankees,Weary River,1929
1448,Rudy Vallee & his Connecticut Yankees,Deep Night,1929
1449,Rudy Vallee & his Connecticut Yankees,Lonely Troubador,1929
1450,Leo Reisman,Ain't Misbehavin',1929
1451,Ted Lewis & his Orchestra,Farewell Blues,1929
1452,Ted Weems,Piccolo Pete,1929
1453,Nick Lucas,Painting the Clouds with Sunshine,1929
1454,Ben Selvin,My Sin,1929
1455,Nat Shilkret,You Were Meant for Me,1929
1456,Al Jolson,I'm in Seventh Heaven,1929
1457,Gus Arnheim & his Orchestra,Sleepy Valley,1929
1458,Bert Ambrose & his Orchestra,Tip Toe Thru' The Tulips With Me,1929
1459,Harry Richman,Puttin' on the Ritz,1930
1460,Ben Selvin,Happy Days Are Here Again,1930
1461,Ruth Etting,Ten Cents a Dance,1930
1462,Don Azpiazu & his Havana Casino Orchestra,The Peanut Vendor,1930
1463,Paul Whiteman,Body & Soul,1930
1464,Duke Ellington,Three Little Words,1930
1465,Rudy Vallee & his Connecticut Yankees,Stein Song (University of Maine),1930
1466,Mississippi Sheiks,Sitting on Top of the World,1930
1467,Roy Ingraham,Chant of the Jungle,1930
1468,Ted Lewis & his Orchestra,On the Sunny Side of the Street,1930
1469,Nat Shilkret,Dancing With Tears in My Eyes,1930
1470,Fred Waring & the Pennsylvanians,Little White Lies,1930
1471,Guy Lombardo,You're Driving Me Crazy! (What Did I Do?),1930
1472,Benny Meroff & his Orchestra,Happy Days Are Here Again,1930
1473,Jimmie Rodgers,Blue Yodel No.9 (Standin' on the Corner),1930
1474,Hilo Hawaiian Orchestra,When It's Springtime in The Rockies,1930
1475,McKinney's Cotton Pickers,If I Could Be With You One Hour Tonight,1930
1476,Ben Selvin,When It's Springtime in The Rockies,1930
1477,Cannon's Jug Stompers,Walk Right In,1930
1478,Leo Reisman,What Is This Thing Called Love?,1930
1479,Son House,My Black Mama,1930
1480,Al Jolson,Let Me Sing & I'm Happy,1930
1481,Rudy Vallee & his Connecticut Yankees,Betty Coed,1930
1482,Mary Lou Williams,Nightlife,1930
1483,Canario & Su Grupo,Lamento Borincano,1930
1484,Hoagy Carmichael,Georgia On My Mind,1930
1485,Ted Weems,The Man from the South,1930
1486,Van Phillips,I'm in The Market For You,1930
1487,Carmen Miranda,Pra Voce Gostar De Mim (Tahi),1930
1488,Duke Ellington,Ring Dem Bells,1930
1489,Nat Shilkret,Get Happy,1930
1490,Louis Armstrong,Memories Of You,1930
1491,Fred Astaire,Puttin' on the Ritz,1930
1492,Ted Weems,My Baby Just Cares For Me,1930
1493,Louis Armstrong,On the Sunny Side of the Street,1930
1494,Al Jolson,To My Mammy,1930
1495,Leo Reisman,Time On My Hands,1930
1496,Jack Hylton & his Orchestra,Dancing On the Ceiling,1930
1497,Maurice Chevalier,My Ideal,1930
1498,Cab Calloway & his Cotton Club Orchestra,St Louis Blues,1930
1499,Ted Lewis & his Orchestra,Three O'Clock in The Morning,1930
1500,Paul Whiteman,Old New England Moon,1930
1501,Isham Jones,What's the Use,1930
1502,Paul Whiteman,Nobody's Sweetheart,1930
1503,Earl Burtnett & his Los Angeles Biltmore Hotel Orchestra,So Beats My Heart for You,1930
1504,Red Nichols,Embraceble You,1930
1505,Regent Club Orchestra,Dancing With Tears in My Eyes,1930
1506,Guy Lombardo,Confessin' (That I Love You),1930
1507,Paul Whiteman,It Happened in Monterey,1930
1508,Cab Calloway & his Cotton Club Orchestra,Minnie the Moocher,1931
1509,Ted Lewis & his Orchestra,Just a Gigolo,1931
1510,Duke Ellington,Mood Indigo,1931
1511,Bing Crosby,Out of Nowhere,1931
1512,Wayne King,Dream a Little Dream of Me,1931
1513,The Mills Brothers,Tiger Rag,1931
1514,Isham Jones,Stardust,1931
1515,Guy Lombardo,Goodnight Sweetheart,1931
1516,Bing Crosby,Just One More Chance,1931
1517,Bing Crosby,At Your Command,1931
1518,Wayne King,Goodnight Sweetheart,1931
1519,Louis Armstrong,Stardust,1931
1520,Red Nichols,I Got Rhythm,1931
1521,Guy Lombardo,(There Ought to Be A) Moonlight Savings Time,1931
1522,Fred Waring & the Pennsylvanians,I Found a Million Dollar Baby (In a Five & Dime store),1931
1523,Guy Lombardo,By the River St Marie,1931
1524,Kate Smith,When the Moon Comes Over the Mountain,1931
1525,Gus Arnheim & his Orchestra,Sweet & Lovely,1931
1526,Clyde McCoy & his Orchestra,Sugar Blues,1931
1527,Duke Ellington,Rockin' in Rhythm,1931
1528,Bing Crosby,Just a Gigolo,1931
1529,The Boswell Sisters,It's the Girl,1931
1530,Louis Armstrong,Lazy River,1931
1531,Ray Noble,Lady of Spain,1931
1532,Ben Selvin,Smile Darn Ya Smile,1931
1533,Ethel Waters,I Got Rhythm,1931
1534,Fred Waring & the Pennsylvanians,Dancing in the Dark,1931
1535,Bing Crosby,Dancing in the Dark,1931
1536,Will Rogers,"Bacon, Beans and Limousines",1931
1537,Orquestra Colbaz,Tico-Tico no Fuba,1931
1538,Layton & Johnstone,Oh Donna Clara,1931
1539,Russ Columbo,Goodnight Sweetheart,1931
1540,Libby Holman,Love for Sale,1931
1541,Smith Ballew & his Orchestra,Time On My Hands (You In My Arms),1931
1542,Louis Armstrong,(I'll Be Glad When You're Dead) You Rascal You,1931
1543,Jacques Renard & his Orchestra,Cuban Love Song,1931
1544,Alfredo Brito & his Siboney Orchestra,Siboney,1931
1545,Paul Whiteman,Cuban Love Song,1931
1546,Leo Reisman,Out of Nowhere,1931
1547,Paul Whiteman,When It's Sleepy Time Down South,1931
1548,Rudy Vallee & his Connecticut Yankees,The Thrill is Gone,1931
1549,Cab Calloway & his Cotton Club Orchestra,St James Infirmary,1931
1550,Bing Crosby,I Found a Million Dollar Baby (In a Five & Dime store),1931
1551,Peter Van Steeden & his Orchestra,Home,1931
1552,Hal Kemp,(There Ought to Be A) Moonlight Savings Time,1931
1553,Guy Lombardo,Now That You're Gone,1931
1554,Rudy Vallee & his Connecticut Yankees,When Yuba Plays the Rhumba on the Tuba,1931
1555,Ted Lewis & his Orchestra,Somebody Loves You,1931
1556,Ted Lewis & his Orchestra,An Ev'ning in Caroline,1931
1557,Fred Astaire & Leo Reisman,Night & Day,1932
1558,Bing Crosby,"Brother, Can You Spare a Dime?",1932
1559,Rudy Vallee & his Connecticut Yankees,"Brother, Can You Spare a Dime?",1932
1560,Louis Armstrong,All of Me,1932
1561,Bing Crosby & The Mills Brothers,Dinah,1932
1562,Duke Ellington,It Don't Mean a Thing (If It Ain't Got That Swing),1932
1563,Bing Crosby,Please,1932
1564,Ted Lewis & his Orchestra,In a Shanty in Old Shanty Town,1932
1565,George Olsen,Lullaby of the Leaves,1932
1566,Paul Whiteman,All of Me,1932
1567,Guy Lombardo,Paradise,1932
1568,Bing Crosby,Where the Blue of the Night (Meets the Gold of the Day),1932
1569,Guy Lombardo,We Just Couldn't Say Goodbye,1932
1570,Kate Smith,"River, Stay 'Way from My Door",1932
1571,Guy Lombardo,Too Many Tears,1932
1572,Cab Calloway & his Cotton Club Orchestra,I've Got the World On a String,1932
1573,Tommy Dorsey,"Take My Hand, Precious Lord",1932
1574,Leo Reisman,Paradise,1932
1575,George Olsen,Say it Isn't So,1932
1576,Guy Lombardo,How Deep Is the Ocean,1932
1577,Ted Fio Rito,Willow Weep For Me,1932
1578,Paul Whiteman,Willow Weep For Me,1932
1579,Maurice Chevalier,MiMi,1932
1580,Pat O'Malley,Goopy Geer,1932
