,Artist,Song,Year
118,Jules Levy,Absence Makes the Heart Grow Fonder,1902
119,Jere Mahoney,For Old Time's Sake,1902
120,Bert Williams,I Don't Like That Face You Wear,1902
121,Haydn Quartet,In the Sweet Bye & Bye,1902
122,Harry MacDonough,Home Sweet Home,1902
123,Len Spencer,Daybreak at Calamity Farm,1902
124,Dan Quinn,"Oh, Didn't He Ramble",1902
125,J Aldrich Libbey,On a Sunday Afternoon,1902
126,Harry MacDonough,Jennie Lee,1902
127,JW Myers,Nancy Brown,1902
128,Edna Thornton,Land of Hope & Glory,1902
129,Alice Nielsen,Always Do As People Say You Should,1902
130,Arthur Collins & Vess L Ossman,All Coons Look Alike To Me,1902
131,Silas Leachman,Bill Bailey (Won't You Please Come Home),1902
132,S H Dudley,While the Leaves Came Drifting Down,1902
133,Jules Levy,The Palms,1902
134,Byron G Harlan & Joe Belmont,The Birds,1902
135,Mina Hickman,Pretty Molly Shannon,1902
136,Haydn Quartet,In the Good Old Summer Time,1903
137,Arthur Collins & Byron G Harlan,Hurrah for Baffin's Bay,1903
138,Arthur Collins,Any Rags?,1903
139,Mina Hickman,"Come Down, Ma Ev'ning Star",1903
140,Harry MacDonough,Hiawatha (His Song to Minnehaha),1903
141,Arthur Collins,Goodbye Liza Jane,1903
142,Sousa's Band,In the Good Old Summer Time,1903
143,Harry MacDonough & John Bieling,In the Sweet Bye & Bye,1903
144,Henry Burr,"Come Down, Ma Ev'ning Star",1903
145,Cal Stewart,Uncle Josh On an Automobile,1903
146,Marie Lloyd,That's How The Little Girl Got On,1903
147,Bahiano,Perdao Emilia,1903
148,Harry MacDonough & Joe Belmont,"Beautiful Bird, Sing On",1903
149,Byron G Harlan,Always in the Way,1903
150,Len Spencer,Reuben Haskins' Ride on a Cyclone Auto,1903
151,J Aldrich Libbey,In the Sweet Bye & Bye,1903
152,Harry MacDonough,In the Good Old Summer Time,1903
153,Arthur Collins,You Can't Fool All the People All the Time,1903
154,JW Myers,Dear Old Girl,1903
155,Bob Roberts,By the Sycamore Tree,1903
156,William H Thompson,The Rosary,1903
157,Haydn Quartet,Old Kentucky Home,1903
158,Bob Roberts,Hurrah for Baffin's Bay,1903
159,Hamilton Hill,A Bird in a Gilded Cage,1903
160,Mario Pinheiro,Isto & Bom,1903
161,JW Myers,If I But Knew,1903
162,Billy Murray,"Tessie (You are the Only, Only)",1903
163,Dan Quinn,The Beer That Made Milwaukee Famous,1903
164,Columbia Orchestra,Hiawatha,1903
165,Arthur Collins & Byron G Harlan,Parody on Hiawatha,1903
166,Harry MacDonough,By the Sycamore Tree,1903
167,Billy Murray,Up in a Cocoanut Tree,1903
168,Dan Quinn,There's a Lot of Things You Never Learn at School,1903
169,Sousa's Band,Hiawatha Two-Step,1903
170,Byron G Harlan,'There's No Place Like Home',1903
171,Harry MacDonough,Heidelberg,1903
172,JW Myers,Heidelberg,1903
173,Arthur Collins,"If Money Talks, It Ain't On Speaking Terms with Me",1903
174,Henry Burr,The Rosary,1903
175,George Alexander,Mighty Like a Rose,1903
176,Bob Roberts,I'm Thinkin' of You All De While,1903
177,Arthur Collins,I'm a Jonah Man,1903
178,Dan Quinn,Hiawatha,1903
179,Vesta Victoria,Riding On a Motor Car,1903
180,Peppa Delgado & Mario Pinheiro,Corta Jaca,1903
181,Arthur Collins & Byron G Harlan,Under the Bamboo Tree,1903
182,Arthur Collins,Down Where the Wurzburger Flows,1903
183,Harry MacDonough & John Bieling,Tessie,1903
184,JW Myers,You're as Welcome as the Flowers in May,1903
185,Haydn Quartet,Sweet Adeline (You're the Flower of My Heart),1904
186,Haydn Quartet,Bedelia,1904
187,Cal Stewart,Uncle Josh & the Insurance Company,1904
188,Billy Murray,Bedelia,1904
189,Richard Jose,Silver Threads Among the Gold,1904
190,Corrine Morgan,Toyland,1904
191,Enrico Caruso,Vesti La Giubba (On With The Play),1904
192,Enrico Caruso,Aida - Celeste Aida,1904
193,Haydn Quartet,Blue Bell,1904
194,Frank Stanley & Byron G Harlan,Blue Bell,1904
195,Byron G Harlan,All Aboard for Dreamland,1904
196,Billy Murray,Meet Me in St Louis,1904
197,Peerless Quartet,Sweet Adeline (You're the Flower of My Heart),1904
198,Billy Murray,Navajo,1904
199,Billy Murray,Alexander,1904
200,Ernie Mayne,I Can't Do My Bally Bottom Button Up,1904
201,Patapio Silva,Amor Perdido,1904
202,Cal Stewart,Evening Time at the Pumpkin Center,1904
203,Arthur Collins,I've Got a Feelin' for You,1904
204,JW Myers,Come Take a Trip in My Air-Ship,1904
205,Billy Murray,Under the Anheuser Bush,1904
206,Arthur Collins & Byron G Harlan,Under the Anheuser Bush,1904
207,Albert Campbell & James F Harrison,Sweet Adeline (You're the Flower of My Heart),1904
208,Haydn Quartet,Dear Old Girl,1904
209,Billy Murray,Teasing (I was Only Teasing You),1904
210,S H Dudley,Meet Me in St Louis,1904
211,Isabel Jay,My Heart's At Your Feet,1904
212,Mario Pinheiro,Primeiro Amor,1904
213,Frank Stanley & Corrine Morgan,Listen to the Mocking Bird,1904
214,Arthur Pryor's Band,Meet Me in St Louis,1904
215,Bob Roberts,"I May be Crazy, But I Ain't No Fool",1904
216,Harry MacDonough,Navajo,1904
217,Harry MacDonough,"I Love Only One Girl in the Wide, Wide World",1904
218,Henry Burr,My Little Canoe,1904
219,JW Myers,Meet Me in St Louis,1904
220,JW Myers,Navajo,1904
221,George J Gaskin,Bedelia,1904
222,Bob Roberts,The Woodchuck Song,1904
223,Vess Ossman,Razzle Dazzle,1904
224,Arthur Pryor's Band,Bedelia,1904
225,Bob Roberts,Teasin',1904
226,Henry Burr,"Good-Bye, My Lady Love",1904
227,Harry Tally,Seminole,1904
228,Mina Hickman,"Good-Bye, Little Girl, Good-Bye",1904
229,Banda do Corpo de Bombeiros,Corta Jaca,1904
230,Isabel Jay,Poor Wand'ring One,1904
231,Henry Burr,Blue Bell,1904
232,Arthur Collins,"Hannah, Won't You Open That Door?",1904
233,Haydn Quartet,"I am Longing for You, Sweetheart, Day by Day",1904
234,Billy Murray,Give My Regards to Broadway,1905
235,Billy Murray,Yankee Doodle (Song),1905
236,Billy Murray,In My Merry Oldsmobile,1905
237,Arthur Collins,The Preacher & the Bear,1905
238,Billy Murray,Come Take a Trip in My Air-Ship,1905
239,Henry Burr,In the Shade of the Old Apple Tree,1905
240,Richard Jose,The Day That You Grew Colder,1905
241,Arthur Pryor's Band,A Coon Band Contest,1905
242,Byron G Harlan,Where the Morning Glories Twine Around the Door,1905
243,Billy Murray,Everybody Works but Father,1905
244,Corrine Morgan,Dearie,1905
245,Banda da Casa Edison,Fantasias ao Luar,1905
246,Winnie Melville,The Pipes of Pan,1905
247,Enrico Caruso,Cavalleria Rusticanna - Brindisi (Drinking Song),1905
248,Emilio DeGogorza,Toreador's Song,1905
249,Arthur Collins,Nobody,1905
250,Arthur Collins,What You Goin' to Do When De Rent Comes 'Round?,1905
251,Albert Campbell,In the Shade of the Old Apple Tree,1905
252,Haydn Quartet,In the Shade of the Old Apple Tree,1905
253,Haydn Quartet,"Silent Night, Holy Night",1905
254,Haydn Quartet,My Little Canoe,1905
255,Frank Stanley,In the Shadow of the Pyramid,1905
256,Arthur Collins & Byron G Harlan,Coax Me,1905
257,Byron G Harlan,Would You Care?,1905
258,Arthur Collins & Byron G Harlan,Tammany,1905
259,Robert Fear,Cigarette,1905
260,Arthur Collins,My Irish Molly-O,1905
261,Arthur Pryor's Band,Hearts & Flowers,1905
262,Billy Murray,My Irish Molly-O,1905
263,Vess Ossman,St Louis Rag,1905
264,Ada Jones,My Carolina Lady,1905
265,Harry MacDonough & John Bieling,Marguerite,1905
266,Harry MacDonough,Sweet Thoughts of Home,1905
267,Ada Jones,Just Plain Folks,1905
268,Frank Stanley,In Dear Old Georgia,1905
269,Haydn Quartet,Tell Me with Your Eyes,1905
270,Prince's Orchestra,Coax Me Medley,1905
271,Peerless Quartet,Tell Me with Your Eyes,1905
272,Sousa's Band,America,1905
273,Isabel Jay,You & I,1905
274,Banda do Corpo de Bombeiros,Itarare,1905
275,La Banda De Zapadores De Mexico,La Paloma,1905
276,Byron G Harlan,The Message of the Old Church Bell,1905
277,Cal Stewart,Uncle Josh at the White House,1905
278,Richard Jose,Whenever I'm Away From You,1905
279,S H Dudley,Give My Regards to Broadway,1905
280,Len Spencer & Ada Jones,Every Little Bit Helps,1905
281,Lew Dockstader,Everybody Works but Father,1905
282,Billy Murray & Len Spencer,Can't You See My Heart Beats All for You,1905
283,Bert Williams,Nobody,1906
284,Billy Murray,The Grand Old Rag,1906
285,Harry Lauder,Stop Your Tickling Jock,1906
286,DeWolf Hopper,Casey at the Bat,1906
287,Bert Williams,Let it Alone,1906
288,Harry Tally,"Wait Till the Sun Shines, Nellie",1906
289,Corrine Morgan,"So Long, Mary",1906
290,Antonio Scotti,La Forza Del Destino - Solenne in Quest' Ora,1906
291,Richard Jose,Home Sweet Home,1906
292,Henry Burr,Love Me & the World is Mine,1906
293,Albert Campbell,Love Me & the World is Mine,1906
294,Corrine Morgan,How'd You Like to Spoon with Me?,1906
295,Arthur Collins & Byron G Harlan,Camp Meetin' Time,1906
296,Byron G Harlan,The Good Old USA,1906
297,Byron G Harlan,"Wait Till the Sun Shines, Nellie",1906
298,Mario Pinheiro,Clelia (Ao Desfraldar da Vela),1906
299,Bert Williams,Here it Comes Again,1906
300,Enrico Caruso,"La Boheme - Raccantodi Radolfo (Rudolph's Recital, Act I)",1906
301,Billy Murray,College Life,1906
302,Byron G Harlan,Daddy's Little Girl,1906
303,Arthur Pryor's Band,On the Rocky Road to Dublin,1906
304,Haydn Quartet,Will You Love Me in December as You Do in May?,1906
305,Enrico Caruso,Forza Del Destino - Solenne in Quest 'Ora (Swear in This Hour),1906
306,Ada Jones,Waiting at the Church (My Wife Won't Let Me),1906
307,Ada Jones,"So Long, Mary",1906
308,Byron G Harlan,Keep on the Sunny Side,1906
309,Billy Murray,Cheyenne (Shy Ann),1906
310,Henry Burr,"Good Night, Little Girl, Good Night",1906
311,Banda do Corpo de Bombeiros,Tres Estrelinhas (O Que Tu es),1906
312,Victoria Monks,Give My Regards to Leicester Square,1906
313,Frank Stanley,I Want What I Want When I Want It,1906
314,Harry MacDonough,Old Kentucky Home,1906
315,Harry MacDonough,"Ain't You Coming Back to Old New Hampshire, Molly?",1906
316,Len Spencer & Ada Jones,Peaches 'n' Cream,1906
317,Sousa's Band,Moonlight,1906
318,Arthur Pryor's Band,You're a Grand Old Flag,1906
319,Frank Stanley,"Good-Bye, Sweetheart, Good-Bye",1906
320,Billy Murray,Forty-Five Minutes from Broadway,1906
321,Haydn Quartet,In Dear Old Georgia,1906
322,James McCool,There Never was a Girl Like You,1906
323,Albert Campbell,Will You Love Me in December as You Do in May?,1906
324,Vess Ossman,St Louis Tickle,1906
325,Eduardo das Neves,Perdao Emilia,1906
326,Florrie Ford,Waltz Me Round Again,1906
327,Cal Stewart,Sunday School Picnic at Pumpkin Center,1906
328,Len Spencer & Ada Jones,The Golden Wedding,1906
