,Numbers,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
20,20,Backstreet Boys,Show Me the Meaning of Being Lonely,"Show me the meaning of being lonely

So many words for the broken heart
It's hard to see in a crimson love
So hard to believe
Walk with me and maybe
Nights of light so soon become
Wild and free, I can feel the sun
Your every wish will be done
They tell me

Show me the meaning of being lonely
Is this the feeling I need to walk with?
Tell me why I can't be there where you are
There's something missing in my heart

Life goes on as it never ends
Eyes of stone observe the trends
They never say, forever gaze, if only
Guilty roads to an endless love (Endless love)
There's no control, are you with me now?
Your every wish will be done
They tell me

Show me the meaning of being lonely
Is this the feeling I need to walk with? (Tell me why)
Tell me why I can't be there where you are
There's something missing in my heart

There's nowhere to run, I have no place to go
Surrender my heart, body, and soul
How can it be you're asking me to feel things you never show?

You are missing in my heart
Tell me why I cannot be there where you are?

Show me the meaning of being lonely
Is this the feeling I need to walk with? (Tell me why)
Tell me why I can't be there where you are (Where you are)
There's something missing in my heart (You are missing in my heart)

Show me the meaning of being lonely (Being lonely)
Is this the feeling I need to walk with? (Tell me why)
Tell me why I can't be there where you are (Can't be there where you are)
There's something missing in my heart",0.0,6.199999809265137
21,21,Ben Cocks,So Cold,"Oh, you can't hear me cry
See my dreams all die
From where you're standing
On your own.
It's so quiet here
And I feel so cold
This house no longer
Feels like home.
ohhh... Mmmm
ohhh... Mmmm
Oh, when you told me you'd leave
I felt like I couldn't breath
My aching body fell to the floor
Then I called you at home
You said that you weren't alone
I should've known better
Now it hurts much more.
ohhh... Mmmm
ohhh... Mmmm
You caused my heart to bleed and
You still owe me a reason
Cause I can't figure out why...
Why I'm alone and freezing
While you're in the bed that she's in
And I'm just left alone to cry.
ohhh... ohhh
Yeahh... Yeahh
Yeahh... Yeahh... Yeahh...
ohhh... ohhh
Yeahh... Yeahh
Yeahh... Yeahh... Yeahh...
ohhh... ohhh
Yeahh... Yeahh
Yeahh... Yeahh... Yeahh...
ohhh... ohhh
Yeahh... Yeahh
Yeahh... Yeahh... Yeahh...
You caused my heart to bleed and
You still owe me a reason
I can't figure out why...
You caused my heart to bleed and
You still owe me a reason
I can't figure out why...
Oh, you can't hear me cry
See my dreams all die
From where you standing
On your own
It's so quiet here and I feel so cold
This house no lounger
Feels like home.",0.30000001192092896,17.799999237060547
22,22,Between Kings,When We Were Kids,"Tommy got off at the Texaco
Came bustin' in to Norma's Cafe
Said come on man we gotta go
You know how those party girls hate to wait
Filled up his daddy's trunk with ice and beer
Yeah he was always stealin' the old man's car
Radio never came in too clear
So I'd hang out one on my piece of junk guitar
Yeah we ruled from the blacktop
To the levee where the party never stopped
Yeah there was power in the night
The spirit was alive
When we would sing
Shan na na na na na na na
When we were kings
When we were kings
Sittin' around the fire one night Tommy called my name
I turned around, he said what do ya think
Had his arm around the prettiest girl I'd ever seen
He kissed her hand and took another drink
I say you must be an angel puttin' up with this guy
She laughed and said play me some Rolling Stones
I couldn't let that chance go by
Yeah I sang her ""You Can't Always Get What you Want""
Yeah we ruled from the blacktop
To the levee where the party never stopped
Yeah there was power in the night
The spirit was alive
When we would sing
Shan na na na na na na na
When we were kings
When we were kings
That was the fall of '65
I guess Uncle Same was hedging his bet
Tommy's number cam up he said ""Hey, I'll be Fine""
""I'll teach 'em a lesson they'll never forget""
Angel and I went to wave goodbye
I guess we'd always thought we'd see him again
You know I took her out a couple of times
We always just wound up talkin' 'bout him
Yeah we ruled from the blacktop
To the levee where the party never stopped
Yeah there was power in the night
The spirit was alive
When we would sing
Shan na na na na na na na
When we were kings
When we were kings
Shan na na na na na na na
When we were kings
Shan na na na na na na na
Shan na na na na na na na",-0.699999988079071,1.5
23,23,Billie Elish,Bellyache,"Sittin' all alone
Mouth full of gum
In the driveway
My friends aren't far
In the back of my car
Lay their bodies
Where's my mind
Where's my mind
They'll be here pretty soon
Lookin' through my room for the money
I'm bitin' my nails
I'm too young to go to jail
It's kinda funny
Where's my mind
Where's my mind
Where's my mind
Where's my mind
Maybe it's in the gutter where I left my lover
What an expensive fate
My V is for Vendetta
Thought that I'd feel better
But now I got a bellyache
Everything I do the way I wear my noose
Like a necklace
I wanna make 'em scared like I could be anywhere
Like I'm wreck-less
I lost my mind
I don't mind
Where's my mind
Where's my mind
Maybe it's in the gutter where I left my lover
What an expensive fate
My V is for Vendetta
Thought that I'd feel better
But now I got a bellyache
Maybe it's in the gutter where I left my lover
What an expensive fate
My V is for Vendetta
Thought that I'd feel better
But now I got a bellyache",-0.20000000298023224,0.20000000298023224
24,24,Billie Elish,Lovely,"Thought I found a way
Thought I found a way, yeah (found)
But you never go away (never go away)
So I guess I gotta stay now
Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can fight my fear
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin and bone
Hello, welcome home
Walkin' out of town
Lookin' for a better place (lookin' for a better place)
Something's on my mind
Always in my headspace
But I know some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can fight my fear
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin and bone
Hello, welcome home
Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home",0.10000000149011612,1.7999999523162842
25,25,Billie Elish,Ocean Eyes,"I've been watching you
For some time
Can't stop staring
At those oceans eyes
Burning cities
And napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes
No fair
You really know how to make me cry
When you gimme those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
No fair
You really know how to make me cry
When you gimme those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
I've been walking through
A world gone blind
Can't stop thinking of your diamond mind
Careful creature
Made friends with time
He left her lonely with a diamond mind
And those ocean eyes
No fair
You really know how to make me cry
When you gimme those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
No fair
You really know how to make me cry
When you gimme those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
No fair
You really know how to make me cry
When you gimme those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
No fair
You really know how to make me cry
When you gimme those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes",0.0,1.2999999523162842
26,26,Bilie Elish,You Should See Me In a Crowd,"Bite my tongue, bide my time
Wearing a warning sign
Wait 'til the world is mine
Visions I vandalize
Cold in my kingdom size
Fell for these ocean eyes
You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by one by, one
One by one by
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by one by, one
One by one by (one)
Count my cards, watch them fall
Blood on a marble wall
I like the way they all
Scream
Tell me which one is worse
Living or dying first
Sleeping inside a hearse
I don't dream
You say
Come over baby
I think you're pretty
I'm okay
I'm not your baby
If you think I'm pretty
You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by one by, one
One by one by 
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by one by, one
One by one by (one)
Crown
I'm gonna run this nothing town
Watch me make 'em bow
One by one by, one
One by one by
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by one by, one
One by one by (one)",0.10000000149011612,1.5
27,27,Birdy,Let It All Go,"I've been sleepless at night
'Cause I don't know how I feel
I've been waiting on you
Just to say something real

There's a light on the road
And I think you know
Morning has come and I have to go

I don't know why, I don't know why
We need to break so hard
I don't know why we break so hard

But if we're strong enough to let it in
We're strong enough to let it go

Let it all go, let it all go, let it all out

If I look back to the start

Now I know, I see everything true
There's still a fire in my heart, my darling
But I'm not burning for you

We started it wrong and I think you know
We waited too long, now I have to go

I don't know why, I don't know why
We need to break so hard
I don't know why we break so hard
But if we're strong enough to let it in
We're strong enough to let it go
Let it all go, let it all go, let it all out now
Who says truth is beauty after all
And who says love should break us when we fall
But if we're strong enough to let it in
We're strong enough to let it go
Let it all go, let it all go, let it all out now
Let it all go, let it all go, let it all out now

Strong enough to let it go",0.20000000298023224,4.300000190734863
28,28,Birdy,People Help The People,"God knows what is hiding
In those weak and drunken hearts
I guess he kissed the girls and made them cry
Those hard-faced queens of misadventure

God knows what is hiding
In those weak and sunken eyes
A fiery throngs of muted angels
Giving love but getting nothing back

Oh, people help the people
And if you're homesick
Give me your hand and I'll hold it

People help the people
And nothing will drag you down

Oh, and if I had a brain
Oh, and if I had a brain
I'd be cold as a stone and rich as the fool
That turned all those good hearts away

God knows what is hiding
In this world of little consequence
Behind the tears, inside the lies
A thousand slowly dying sunsets

God knows what is hiding
In those weak and drunken hearts
I guess the loneliness came knocking
No one needs to be alone, oh, save me

People help the people
And if you're homesick
Give me your hand and I'll hold it

People help the people
And nothing will drag you down

Oh, and if I had a brain
Oh, and if I had a brain
I'd be cold as a stone and rich as the fool
That turned all those good hearts away

People help the people
And if you're homesick
Give me your hand and I'll hold it

People help the people
And nothing will drag you down

Oh, and if I had a brain
Oh, and if I had a brain
I'd be cold as a stone and rich as the fool
That turned all those good hearts away",0.0,7.099999904632568
29,29,Birdy,Skinny Love,"Come on, skinny love, just last the year
Pour a little salt, we were never here
My my my, my my my, my my my, my
Staring at the sink of blood and crushed veneer

I tell my love to wreck it all
Cut out all the ropes and let me fall
My my my, my my my, my my my, my
Right at the moment, this order's tall

And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind

And in the morning, I'll be with you
But it will be a different kind
'Cause I'll be holding all the tickets
And you'll be owning all the fines

Come on, skinny love, what happened here?
Suckle on the hope in light brassiere
My my my, my my my, my my my, my
Sullen load is full, so slow on the split

And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind

And now all your love is wasted
Then who the hell was I?
'Cause now I'm breaking at the britches
And at the end of all your lines

Who will love you?
Who will fight?
And who will fall far behind?

Come on skinny love
My my my, my my my, my my my, my
My my my, my my my, my my my, my",0.0,4.599999904632568
30,30,Birdy,Wings,"Sunlight comes creeping in
Illuminates our skin
We watched the day go by
Stories of all we did
It made me think of you
It made me think of you

Under a trillion stars
We danced on top of cars
Took pictures of the stage
So far from where we are
They made me think of you
They made me think of you

Oh lights go down
In the moment, we're lost and found
I just wanna be by your side
If these wings could fly
For the rest of our lives

I'm in a foreign state
My thoughts, they slip away
My words are leaving me
They caught an aeroplane
Because I thought of you
Just from the thought of you

Oh lights go down
In the moment, we're lost and found
I just wanna be by your side
If these wings could fly

Oh damn these walls
In the moment, we're ten feet tall
And how you told me after it all
We'd remember tonight
For the rest of our lives

If these wings could fly

Oh lights go down
In the moment, we're lost and found
I just wanna be by your side
If these wings could fly

Oh damn these walls
In the moment, we're ten feet tall
And how you told me after it all
We'd remember tonight
For the rest of our lives",0.0,2.700000047683716
31,31,Blue,Sorry Seems to Be the Hardest Word,"What I gotta do to make you love me
What I gotta do to make you care
What do I do when lightning strikes me
And awake to find that you're not there

What I gotta do to make you want me
What I gotta do to be heard
What do I say when it's all over, babe
Sorry seems to be the hardest word

It's sad, so sad
It's a sad sad situation
And it's gettin' more and more absurd
It's sad, so sad
Why can't we talk it over
Oh it seems to me
That sorry seems to be the hardest word

What do I do to make you want me
What I gotta do to be heard
What do I say when it's all over
Sorry seems to be the hardest word

It's sad, so sad
It's a sad sad situation
And it's gettin' more and more absurd
It's sad, so sad
Why can't we talk it over
Oh it seems to me
Sorry seems to be the hardest word

What do I do to make you love me
What I gotta do to be heard
What do I do when lightening strikes me, yeah
What've I gotta do
What've I gotta do
Oh, when sorry seems to be the hardest word",-0.20000000298023224,4.199999809265137
32,32,Bon Iver,Holocene,"""Someway, baby, it's part of me, apart from me""
You're laying waste to Halloween
You fucked it friend, it's on it's head, it struck the street
You're in Milwaukee, off your feet

And at once I knew I was not magnificent
Strayed above the highway aisle
Jagged vacance, thick with ice
For I could see for miles, miles, miles

3rd and Lake it burnt away, the hallway
Was where we learned to celebrate
The automatic bought the years you'd talk for me
That night you played me “Lit Parade”
Not the needle, nor the thread, the lost decree
Saying nothing, that's enough for me

And at once I knew I was not magnificent
Hulled far from the highway aisle
Jagged vacance, thick with ice
For I could see for miles, miles, miles

Christmas night, it clutched the light
The hallow bright
Above my brother, I and tangled spines
We smoked the screen to make it what it was to be
Now to know it in my memory

And at once I knew I was not magnificent
High above the highway aisle
Jagged vacance, thick with ice
For I could see for miles, miles, miles",-0.10000000149011612,2.9000000953674316
33,33,Brad Paisley,Whisky Lullaby,"She put him out like the burnin' end of a midnight cigarette
She broke his heart, he spent his whole life tryin' to forget
We watched him drink his pain away a little at a time
But he never could get drunk enough to get her off his mind
Until the night
He put that bottle to his head and pulled the trigger
And finally drank away her memory
Life is short, but this time it was bigger
Than the strength he had to get up off his knees
We found him with his face down in the pillow
With a note that said, 'I'll love her till I die.'
And when we buried him beneath the willow
The angels sang a whiskey lullaby
The rumors flew but nobody knew how much she blamed herself
For years and years she tried to hide the whiskey on her breath
She finally drank her pain away a little at a time
But she never could get drunk enough to get him off her mind
Until the night
She put that bottle to her head and pulled the trigger
And finally drank away his memory
Life is short, but this time it was bigger
Than the strength she had to get up off her knees
We found her with her face down in the pillow
Clinging to his picture for dear life
We laid her next to him beneath the willow
While the angels sang a whiskey lullaby",-0.10000000149011612,0.699999988079071
34,34,Bruce Springsteen,Dancing in The Dark,"I get up in the evening
And I ain't got nothing to say
I come home in the morning
I go to bed feeling the same way

I ain't nothing but tired
Man, I'm just tired and bored with myself
Hey there, baby
I could use just a little help

You can't start a fire
You can't start a fire without a spark
This gun's for hire
Even if we're just dancing in the dark

Messages keep getting clearer
Radio's on and I'm moving 'round the place
I check my look in the mirror
Wanna change my clothes, my hair, my face

Man, I ain't getting nowhere
I'm just livin' in a dump like this
There's something happening somewhere
Baby, I just know that there is

You can't start a fire
You can't start a fire without a spark
This gun's for hire
Even if we're just dancing in the dark

You sit around getting older
There's a joke here somewhere and it's on me
I'll shake this world off my shoulders
Come on, baby, the laugh's on me

Stay on the streets of this town
And they'll be carving you up alright
They say you gotta stay hungry
Hey baby, I'm just about starving tonight

I'm dying for some action
I'm sick of sittin' 'round here trying to write this book
I need a love reaction
Come on, baby, gimme just one look

You can't start a fire
Sittin' 'round crying over a broken heart
This gun's for hire
Even if we're just dancing in the dark

You can't start a fire
Worrying about your little world falling apart
This gun's for hire
Even if we're just dancing in the dark

Even if we're just dancing in the dark
Even if we're just dancing in the dark
Even if we're just dancing in the dark

Hey, baby!",-0.30000001192092896,6.400000095367432
35,35,Bruce Springsteen,Streets of Philadelphia,"I was bruised and battered, I couldn't tell what I felt
I was unrecognizable to myself
Saw my reflection in a window and didn't know my own face
Oh, brother, are you gonna leave me wasting away
On the streets of Philadelphia?

I walked the avenue 'til my legs felt like stone
I heard voices of friends vanished and gone
At night I could hear the blood in my veins
Just as black and whispering as the rain
On the streets of Philadelphia

Ain't no angel gonna greet me
It's just you and I, my friend
And my clothes don't fit me no more
I walked a thousand miles just to slip this skin

The night has fallen and I'm lying awake
I can feel myself fading away
So receive me, brother, with your faithless kiss
Or will we leave each other alone like this
On the streets of Philadelphia?",-0.5,2.200000047683716
36,36,Bruno Mars,It Will Rain,"If you ever leave me, baby
Leave some morphine at my door
'Cause it would take a whole lot of medication
To realize what we used to have, we don't have it anymore

There's no religion that could save me
No matter how long my knees are on the floor, ohohoho
So keep in mind all the sacrifices I'm makin'
Will keep you by my side, will keep you from walkin' out the door

'Cause there'll be no sunlight if I lose you, baby
There'll be no clear skies if I lose you, baby
Just like the clouds my eyes will do the same
If you walk away every day it will rain, rain, rain, heyeyey

I'll never be your mother's favorite
Your daddy can't even look me in the eye
Ooohooohooo, if I was in their shoes, I'd be doing the same thing
Sayin': ""There goes my little girl walkin' with that troublesome guy""

But they're just afraid of something they can't understand
Ooh, but, little darlin', watch me change their minds
Yeah, for you I'll try, I'll try, I'll try, I'll try
I'll pick up these broken pieces till I'm bleeding if that'll make you mine

'Cause there'll be no sunlight if I lose you, baby
There'll be no clear skies if I lose you, baby
Just like the clouds my eyes will do the same
If you walk away every day it will rain, rain, rain, heyeyey

Don't just say (Don't just say) goodbye (Goodbye)
Don't just say (Don't just say) goodbye (Goodbye)
I'll pick up these broken pieces till I'm bleeding if that'll make it right

'Cause there'll be no sunlight if I lose you, baby
There'll be no clear skies if I lose you, baby
Just like the clouds my eyes will do the same
If you walk away every day it will rain, rain, rain, heyeyey",-0.20000000298023224,3.5999999046325684
37,37,Bruno Mars,When I Was Your Man,"Same bed, but it feels just a little bit bigger now
Our song on the radio, but it don't sound the same
When our friends talk about you all it does is just tear me down
'Cause my heart breaks a little when I hear your name
And it all just sound like, ""Oooh.""

Hmmm, too young, too dumb to realize
That I should've bought you flowers and held your hand
Should've gave you all my hours when I had the chance
Take you to every party 'cause all you wanted to do was dance
Now my baby's dancing, but she's dancing with another man

My pride, my ego, my needs and my selfish ways
Caused a good strong woman like you to walk out my life
Now I'll never, never get to clean up the mess I made, oh
And that haunts me every time I close my eyes
It all just sounds like, ""Oooh.""

Mmm, too young, too dumb to realize
That I should've bought you flowers and held your hand
Should've gave all my hours when I had the chance
Take you to every party 'cause all you wanted to do was dance
Now my baby's dancing, but she's dancing with another man

Although it hurts I'll be the first to say that I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know

I hope he buys you flowers, I hope he holds your hands
Give you all his hours when he has the chance
Take you to every party 'cause I remember how much you loved to dance
Do all the things I should've done when I was your man
Do all the things I should've done when I was your man",-0.4000000059604645,4.199999809265137
38,38,Calum Scott,Daning On My Own,"Somebody said you got a new friend
Does she love you better than I can?
There's a big black sky over my town
I know where you're at, I bet she's around
And yeah, I know it's stupid
But I just gotta see it for myself
I'm in the corner, watching you kiss her, oh oh oh
I'm right over here, why can't you see me, oh oh oh
And I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own
I'm just wanna dance all night
And I'm all messed up, I'm so out of line, yeah
Stilettos and broken bottles
I'm spinning around in circles
And I'm in the corner, watching you kiss her, oh
I'm right over here, why can't you see me, oh
And I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own
And oh no
So far away but still so near
The lights come up, the music dies
But you don't see me standing here
I just came to say goodbye
I'm in the corner, watching you kiss her, oh
And I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own
And oh no
Sit down in the corner, watching you kiss her, oh no
And I'm right over here, why can't you see me, oh no
And I'm giving it my all, but I'm not the guy you're taking home, ooh
I keep dancing on my own
So far away, but still so near
The lights come up, the music dies
But you don't see me standing here",0.10000000149011612,1.5
39,39,Chord Overstreet,Hold On,"Loving and fighting
Accusing, uniting
I can't imagine a world with you gone
The joy and the chaos, the demons we're made of
I'd be so lost if you left me alone
You locked yourself in the bathroom
Lying on the floor when I break through
I pull you in to feel your heartbeat
Can you hear me screaming ""please don't leave me""
Hold on, I still want you
Come back, I still need you
Let me take your hand, I'll make it right
I swear to love you all my life
Hold on, I still need you
A long endless highway, you're silent beside me
Drivin' a nightmare I can't escape from
Helplessly praying, the light isn't fadin'
Hiding in the shock and the chill in my bones
They took you away on a table
I pace back and forth as you lay still
I pull you in to feel your heartbeat
Can you hear me screaming, ""please don't leave me""
Hold on, I still want you
Come back, I still need you
Let me take your hand, I'll make it right
I swear to love you all my life
Hold on, I still need you
I don't wanna let go
I know I'm not that strong
I just wanna hear you
Saying baby, let's go home
Let's go home
Yeah, I just wanna take you home
Hold on, I still want you
Come back, I still need you
",-0.10000000149011612,0.20000000298023224
40,40,Christina Aguilera,Hurt,"Seems like it was yesterday when I saw your face
You told me how proud you were, but I walked away
If only I knew what I know today
Ooh-hoo, ooohooo

I would hold you in my arms, I would take the pain away
Thank you for all you've done, forgive all your mistakes
There's nothing I wouldn't do to hear your voice again
Sometimes I wanna call you but I know you won't be there

Ohoho, I'm sorry for blaming you
For everything I just couldn't do
And I've hurt myself by hurting you

Some days I feel broke inside but I won't admit
Sometimes I just wanna hide 'cause it's you I miss
And it's so hard to say goodbye
When it comes to this, oh

Would you tell me I was wrong, would you help me understand?
Are you looking down upon me, are you proud of who I am?
There's nothing I wouldn't do to have just one more chance
To look into your eyes and see you looking back

Ohoho, I'm sorry for blaming you
For everything I just couldn't do
And I've hurt myself, ohoho

If I had just one more day
I would tell you how much that I've missed you since you've been away
Ohoho, it's dangerous, it's so out of line
To try to turn back time

I'm sorry for blaming you
For everything I just couldn't do
And I've hurt myself by hurting you",-0.4000000059604645,6.0
41,41,Christina Perri,A Thousand Years,"Heart beats fast, colors and promises
How to be brave, how can I love when I'm afraid to fall
But watching you stand alone, all of my doubt suddenly goes away
Somehow, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

Time stands still, beauty in all she is
I will be brave, I will not let anything take away
Standing in front of me, every breath
Every hour has come to this, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more, one step closer, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more",0.699999988079071,5.0
42,42,Christina Perri,Jar of Hearts,"I know I can't take one more step towards you
'Cause all that's waiting is regret
And don't you know I'm not your ghost anymore
You lost the love I loved the most

I learned to live half-alive
And now you want me one more time

And who do you think you are, running 'round leaving scars?
Collecting your jar of hearts and tearing love apart
You're gonna catch a cold from the ice inside your soul
So don't come back for me, who do you think you are?

I hear you're asking all around
If I am anywhere to be found
But I have grown too strong
To ever fall back in your arms

I learned to live half-alive
And now you want me one more time

And who do you think you are, running 'round leaving scars?
Collecting your jar of hearts, tearing love apart
You're gonna catch a cold from the ice inside your soul
So don't come back for me, who do you think you are?

It took so long just to feel alright
Remember how to put back the light in my eyes
I wish I had missed the first time that we kissed
'Cause you broke all your promises

And now you're back, you don't get to get me back

And who do you think you are, running 'round leaving scars?
Collecting your jar of hearts and tearing love apart
You're gonna catch a cold from the ice inside your soul
So don't come back for me, don't come back at all

And who do you think you are, running 'round leaving scars?
Collecting your jar of hearts, tearing love apart
You're gonna catch a cold from the ice inside your soul
Don't come back to me, don't come back at all

Who do you think you are?
Who do you think you are?
Who do you think you are?",0.0,4.099999904632568
43,43,Coldplay,The Scientist,"Come up to meet you
Tell you I'm sorry
You don't know how lovely you are

I had to find you
Tell you I need you
Tell you I set you apart

Tell me your secrets
And ask me your questions
Oh let's go back to the start

Running in circles
Coming up tails
Heads on a science apart

Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard

Oh take me back to the start

I was just guessing
At numbers and figures
Pulling your puzzles apart

Questions of science
Science and progress
Could not speak as loud as my heart

Tell me you love me
Come back and haunt me
Oh when I rush to the start

Running in circles
Chasing tails
Coming back as we are

Nobody said it was easy
Oh it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard

I'm going back to the start",-0.10000000149011612,3.700000047683716
44,44,Daughter,Youth,"Shadows settle on the place that you left
Our minds are troubled by the emptiness
Destroy the middle, it's a waste of time
From the perfect start to the finish line

And if you're still breathing, you're the lucky ones
'Cause most of us are heaving through corrupted lungs
Setting fire to our insides for fun
Collecting names of the lovers that went wrong
The lovers that went wrong

We are the reckless
We are the wild youth
Chasing visions of our futures
One day we'll reveal the truth
That one will die before he gets there

And if you're still bleeding, you're the lucky ones
'Cause most of our feelings, they are dead and they are gone
We're setting fire to our insides for fun
Collecting pictures from the flood that wrecked our home
It was a flood that wrecked this

And you caused it
And you caused it
And you caused it

Well I've lost it all, I'm just a silhouette
A lifeless face that you'll soon forget
My eyes are damp from the words you left
Ringing in my head, when you broke my chest
Ringing in my head, when you broke my chest

And if you're in love, then you are the lucky one
'Cause most of us are bitter over someone
Setting fire to our insides for fun
To distract our hearts from ever missing them
But I'm forever missing him

And you caused it
And you caused it
And you caused it",-0.4000000059604645,4.300000190734863
45,45,Dean Lewis,Be Alright,"I look up from the ground
To see your sad and teary eyes
You look away from me
And I see there's something you're trying to hide
And I reach for your hand but it's cold
You pull away again
And I wonder what's on your mind
And then you say to me you made a dumb mistake
You start to tremble and your voice begins to break
You say the cigarettes on the counter weren't your friends
They were my mates
And I feel the color draining from my face
And my friend said
""I know you love her, but it's over, mate
It doesn't matter, put the phone away
It's never easy to walk away, let her go
It'll be alright""
So I asked to look back at all the messages you'd sent
And I know it wasn't right, but it was fucking with my head
And everything deleted like the past, it was gone
And when I touched your face, I could tell you're moving on
But it's not the fact that you kissed him yesterday
It's the feeling of betrayal, that I just can't seem to shake
And everything I know tells me that I should walk away
But I just want to stay
And my friend said
""I know you love her, but it's over, mate
It doesn't matter, put the phone away
It's never easy to walk away, let her go
It'll be okay
It's gonna hurt for a bit of time
So bottoms up, let's forget tonight
You'll find another and you'll be just fine
Let her go""
But nothing heals the past like time
And they can't steal
The love you're born to find
But nothing heals the past like time
And they can't steal
The love you're born to find
""I know you love her, but it's over, mate
It doesn't matter, put the phone away
It's never easy to walk away, let her go
It'll be okay
It's gonna hurt for a bit of time
So bottoms up, let's forget tonight
You'll find another and you'll be just fine
Let her go""
It'll be alright
It'll be alright
It'll be alright
It'll be alright
It'll be alright",-0.800000011920929,1.600000023841858
46,46,Demi Lovato,Stone Cold,"Stone cold
Stone cold
You see me standing
But I'm dyin' on the floor

Stone cold
Stone cold
Maybe if I don't cry
I won't feel anymore

Stone cold
Baby
God knows I try to feel

Happy for you
Know that I am
Even if I can't understand

I'll take the pain
Give me the truth
Me and my heart
We'll make it through

If happy is her
I'm happy for you

Stone cold
Stone cold
You're dancing with her
While I'm staring at my phone

Stone cold
Stone cold
I was your amber
But now she's your shade of gold

Stone cold
Baby
God knows I try to feel

Happy for you
Know that I am
Even if I can't understand

I'll take the pain
Give me the truth
Me and my heart
We'll make it through

If happy is her
I'm happy for you

Don't wanna be stone cold
Stone

I wish I could mean this but here's my goodbye

I'm happy for you
Know that I am
Even if I can't understand

If happy is her
If happy is her
I'm happy for you",0.10000000149011612,6.800000190734863
47,47,Ed Sheeran,Happier,"Walking down 29th and park
I saw you in another's arm
Only a month we've been apart
You look happier
Saw you walk inside a bar
He said something to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
If you're moving on with someone new

'Cause baby you look happier, you do
My friends told me one day I'll feel it too
And until then I'll smile to hide the truth
That I know I was happier with you
(Hey yeah, hey yeah, hey yeah)

Sat on the corner of the room
Everything's reminding me of you
Nursing an empty bottle and telling myself
You're happier, aren't you?
(Hey yeah, hey yeah)

Oh, ain't nobody hurt you like I hurt you (Hey yeah, hey yeah)
But ain't nobody need you like I do (hey yeah, hey yeah)
I know that there's others that deserve you (hey yeah, hey yeah)
But my darling, I am still in love with you

But I guess you look happier, you do
My friends told me one day I'll feel it too
I could try to smile to hide the truth
But I know I was happier with you
(Hey yeah, hey yeah, hey yeah)
(Hey yeah, hey yeah, hey yeah)
(Hey yeah, hey yeah, hey yeah)
(Hey yeah, hey yeah, hey yeah)

'Cause baby, you look happier, you do
I knew one day you'd fall for someone new
But if he breaks your heart like lovers do
Just know that I'll be waiting here for you",0.20000000298023224,3.799999952316284
