,Numbers,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
10,10,Akon,Lonely,"Lonely, I'm Mr. Lonely
I have nobody for my own
I'm so lonely, I'm Mr. Lonely
I have nobody for my own
I am so lonely 

Yo, this one here goes out to all my players out there, man
Ya know, that got that one good girl, Lord
That's always been there
Like took all the bullshit
Then one day she can't take it no more and decide to leave

Yeah, I woke up in the middle of the night
And I noticed my girl wasn't by my side
Coulda sworn I was dreamin' for her
I was feenin' so I had to take a little ride

Backtracking over these few years
Tryin' ta figure out what I do to make it go bad
'Cause ever since my girl left me
My whole life came crashing and I'm so...

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)
I am so lonely

Can't believe I had a girl like you
And I just let you walk right outta my life
After all I put you through 
You still stuck around and stayed by my side

What really hurt me is I broke your heart
Baby you're a good girl and I had no right
I really wanna make things right
'Cause without you in my life girl I'm so...

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)
I am so lonely

Been all about the world, ain't never met a girl 
That can take the things that you been through
Never thought the day would come where you'd get up and run 
And I would be out chasing you

'Cause ain't nowhere in the globe I'd rather be
Ain't no one in the globe I'd rather see 
Than the girl of my dreams that made me be
So happy but now so lonely...

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)
I am so lonely

Never thought that I'd be alone (be alone)
I didn't think you'd be gone this long (gone so long)
I just want you to call my phone
So stop playing girl and come on home (come on home)

Baby girl I didn't mean to shout
I want me and you to work it out (work it out baby)
I had never wished to ever hurt my baby (hurt my baby)
And it's drivin' me crazy 'cause I'm so...

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)

I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own girl)
I am so lonely

So lonely (lonely)
So lonely (so lonely)
Mr. Lonely (lonely)
So lonely (so lonely)

So lonely (lonely)
So lonely (so lonely)
So lonely
Mr. Lonely",-0.20000000298023224,9.0
11,11,Alan Walker,Diamond Heart,"Hello sweet grief
I know you will be the death of me
Feel like the morning after ecstasy
I am drowning in an endless sea
Hello old friend
Here's the misery that knows no end
So I am doing everything I can
To make sure I never love again

I wish that I did not know
Where all broken lovers go
I wish that my heart was made of stone
Yeah if I was bulletproof
I'd love you black and blue
If I was solid like a jewel

If I had a diamond heart
I'd give you all my love
If I was unbreakable
If I had a diamond heart
You could shoot me with a gun of gold
If I was unbreakable

I'd walk straight through the bullet
Bendin' like a tulip
Blue-eyed and foolish
Never mind the bruises
Into the fire
Breakin' through the wires
Give you all I've got
If I had a diamond heart
I'd walk straight through the dagger
Never break the pattern
Diamonds don't shatter
Beautiful and battered
Into the poison
Cry you an ocean
Give you all I've got
If I had a diamond heart

Goodbye, so long
I don't know if this is right or wrong
Am I giving up where I belong?
'Cause every station is playing our song
Goodbye my love
You are everything my dreams are made of
You'll be Prince and I'm the crying dove
If I only were unbreakable

I wish that I did not know
Where all broken lovers go
I wish that my heart was made of stone
Yeah if I was bulletproof
I'd love you black and blue
If I was solid like a jewel

If I had a diamond heart
I'd give you all my love
If I was unbreakable
If I had a diamond heart
You could shoot me with a gun of gold
If I was unbreakable

I'd walk straight through the bullet
Bendin' like a tulip
Blue-eyed and foolish
Never mind the bruises
Into the fire
Breakin' through the wires
Give you all I've got
If I had a diamond heart
I'd walk straight through the dagger
Never break the pattern
Diamonds don't shatter
Beautiful and battered
Into the poison
Cry you an ocean
Give you all I've got
If I had a diamond heart",0.0,4.699999809265137
12,12,Alec Benjamin,Let Me Down Slowly,"This night is cold in the kingdom
I can feel you fade away
From the kitchen to the bathroom sink and
Your steps keep me awake
Don't cut me down, throw me out, leave me here to waste
I once was a man with dignity and grace
Now I'm slipping through the cracks of your cold embrace
So please, please
Could you find a way to let me down slowly?
A little sympathy, I hope you can show me
If you wanna go then I'll be so lonely
If you're leaving baby let me down slowly
Let me down, down
Let me down, down
Let me down, let me down
Down, let me down, down
Let me down
If you wanna go then I'll be so lonely
If you're leaving baby let me down slowly
Cold skin, drag my feet on the tile
As I'm walking down the corridor
And I know we haven't talked in a while
So I'm looking for an open door
Don't cut me down, throw me out, leave me here to waste
I once was a man with dignity and grace
Now I'm slipping through the cracks of your cold embrace
So please, please
Could you find a way to let me down slowly?
A little sympathy, I hope you can show me
If you wanna go then I'll be so lonely
If you're leaving baby let me down slowly
Let me down, down
Let me down, down
Let me down, let me down
Down, let me down, down
Let me down
If you wanna go then I'll be so lonely
If you're leaving baby let me down slowly
And I can't stop myself from falling down
And I can't stop myself from falling down
And I can't stop myself from falling down
And I can't stop myself from falling down
Could you find a way to let me down slowly?
A little sympathy, I hope you can show me
If you wanna go then I'll be so lonely
If you're leaving baby let me down slowly
Let me down, down
Let me down, down
Let me down, let me down
Down, let me down, down
Let me down
If you wanna go then I'll be so lonely
If you're leaving baby let me down slowly
If you wanna go then I'll be so lonely
If you're leaving baby, let me down slowly",-0.5,2.200000047683716
13,13,Alec Benjamin,Outrunning Karma,"Outrunning karma that boy
He's such a charmer all the
Bugs and their larva follow
Him out to Colorado
Ten dozen hearts in a bag
Their bodies lying he'll drag
Them down to Colorado
A modern desperado
And he'll race for miles through the night
He runs because he knows he cannot hide
He's never gonna make it all the
Poor people he's forsaken karma
Is always gonna chase him for his lies
It's just a game of waiting from the
Church steeple down to Satan karma
There's really no escaping till he dies
Outgunning karma that boy
Can't run no farther it's the
Last days of Sparta follow
him down to meet Apollo
The he'll brace for battle in the night
They'll fight because he knows he cannot hide
He's never gonna make it all the
Poor people he's forsaken karma
Is always gonna chase him for his lies
It's just a game of waiting from the
Church steeple down a saint in karma
There's really no escaping till he dies
La la la, la la
La la la, la la
La la la, la la, la la
La la la, la la
La la la, la la
La la la, la la, la la
He's never gonna make it all the
Poor people he's forsaken karma
Is always gonna chase him for his lies
It's just a game of waiting from the
Church steeple down to Satan karma
There's really no escaping till he dies
La la la, la la
La la la, la la
La la la, la la, la la
La la la, la la
La la la, la la
La la la, la la, la la",-0.800000011920929,1.7000000476837158
14,14,Andra,Sweet Dreams,"Am I alive or did I die?
Did the day just pass me by, saying
""Sweet dreams, I gotta go now""?
These are the moments when
You wish you could live again, but
Sweet dreams, I gotta go now
I can't take this anymore
I want a change in my life
I'm so tired of all these lies
And so tired of being tired
So I say: ""Sweet dreams, I gotta go now.""
This life is only one
Can't turn back, the past has gone saying
""Sweet dreams, I gotta go now"".
These are the moments when
You wish you could live again, but
Sweet dreams, I gotta go now
I gotta get up, keep on tryin'
I gotta go find my own way
Gotta find the treasure inside me
Tomorrow is a new day
I gotta go
Sweet dreams, I gotta go now
I'm not coming back, past is in the past
Sweet dreams, I gotta go now
Sweet dreams, I gotta go now",-0.30000001192092896,1.7999999523162842
15,15,Andra,Rise Up,"You're broken down and tired
Of living life on a merry go round
And you can't find the fighter
But I see it in you so we gonna walk it out
And move mountains
We gonna walk it out
And move mountains
And I'll rise up
I'll rise like the day
I'll rise up
I'll rise unafraid
I'll rise up
And I'll do it a thousand times again
And I'll rise up
High like the waves
I'll rise up
In spite of the ache
I'll rise up
And I'll do it a thousands times again
For you
For you
For you
For you
When the silence isn't quiet
And it feels like it's getting hard to breathe
And I know you feel like dying
But I promise we'll take the world to its feet
And move mountains
We'll take it to its feet
And move mountains
And I'll rise up
I'll rise like the day
I'll rise up
I'll rise unafraid
I'll rise up
And I'll do it a thousand times again
For you
For you
For you
For you
All we need, all we need is hope
And for that we have each other
And for that we have each other
We will rise
We will rise
We'll rise, oh oh
We'll rise
I'll rise up
Rise like the day
I'll rise up
In spite of the ache
I will rise a thousands times again
And we'll rise up
Rise like the waves
We'll rise up
In spite of the ache
We'll rise up
And we'll do it a thousands times again
For you oh oh oh oh oh
For you oh oh oh oh oh
For you oh oh oh oh oh
For you",0.0,0.6000000238418579
16,16,Andra,Why,"If you don't love me just say
I'll never stay in your way
Nobody hurt me this way
Give me a reason to stay

I wonder, wonder, wonder why
I wonder why

Why, why do you hurt me?
Why, why does it hurt?

Can we just stop with the blame
We""re turning love into hate
I know we won't be the same
We've got no reason to wait

I wonder, wonder, wonder why
I wonder why

Why, why do you hurt me?
Why, why does it hurt?

If you don't love me just say
I'll never stay in your way
Nobody hurt me this way
Give me a reason to stay

I wonder, wonder, wonder why
I wonder why

Why, why do you hurt me?
Why, why does it hurt?

Can we just stop with the blame
We""re turning love into hate
I know we won't be the same
We've got no reason to wait

I wonder, wonder, wonder why
I wonder why

Why, why do you hurt me?
Why, why does it hurt?",-0.10000000149011612,4.699999809265137
17,17,Avril Lavigne,I'm With You,"I'm standin' on the bridge
I'm waitin' in the dark
I thought that you'd be here by now
There's nothin' but the rain
No footsteps on the ground
I'm listening, but there's no sound

Isn't anyone tryin' to find me?
Won't somebody come take me home?

It's a damn cold night
Tryin' to figure out this life
Won't you take me by the hand
Take me somewhere new
I don't know who you are, but I
I'm with you, I'm with you, mm

I'm lookin' for a place
I'm searchin' for a face
Is anybody here I know?
'Cause nothing's going right
And everything's a mess
And no one likes to be alone

Isn't anyone tryin' to find me?
Won't somebody come take me home?

It's a damn cold night
Tryin' to figure out this life
Won't you take me by the hand
Take me somewhere new
I don't know who you are, but I
I'm with you, I'm with you, yeah yeah

Oh, why is everything so confusing?
Maybe I'm just out of my mind
Yeah, yeah, yeah
Yeah yeah, yeah yeah, yeah yeah
Yeah…

It's a damn cold night
Tryin' to figure out this life
Won't you take me by the hand
Take me somewhere new
I don't know who you are, but I
I'm with you, I'm with you

Take me by the hand
Take me somewhere new
I don't know who you are, but I
I'm with you, I'm with you

Take me by the hand
Take me somewhere new
I don't know who you are, but I
I'm with you, oh, I'm with you

I'm with you",-0.20000000298023224,7.199999809265137
18,18,Avril Lavigne,When You're Gone,"I always needed time on my own
I never thought I'd
Need you there when I cry

And the days feel like years when I'm alone
And the bed where you lie
Is made up on your side

When you walk away
I count the steps that you take
Do you see how much I need you right now?

When you're gone
The pieces of my heart are missing you
When you're gone
The face I came to know is missing too

When you're gone
All the words I need to hear
To always get me through the day
And make it okay, I miss you

I've never felt this way before
Everything that I do
Reminds me of you

And the clothes you left, they lie on the floor
And they smell just like you
I love the things that you do

When you walk away
I count the steps that you take
Do you see how much I need you right now?

When you're gone
The pieces of my heart are missing you
And when you're gone
The face I came to know is missing too

And when you're gone
All the words I need to hear
To always get me through the day
And make it okay, I miss you

We were made for each other
Out here forever
I know we were, Yeah-Yeah

And all I ever wanted was for you to know!
Everything I do I'd give my heart and soul!
I can hardly breathe I need to feel you here with me! Yeah-Eh!

When you're gone
The pieces of my heart are missing you
And when you're gone
The face I came to know is missing too

And when you're gone
All the words I need to hear
Will always get me through the day
And make it okay, I miss you, MMM",0.0,5.800000190734863
19,19,Avril Lavigne,Wish You Were Here,"I can be tough, I can be strong
But with you, it's not like that at all
There's a girl that gives a shit
Behind this wall, you just walk through it

And I remember all those crazy things you said
You left them running through my head
You're always there, you're everywhere
But right now I wish you were here

All those crazy things we did
Didn't think about it, just went with it
You're always there, you're everywhere
But right now I wish you were here

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here

I love the way you are
It's who I am, don't have to try hard
We always say, say it like it is
And the truth is that I really miss

All those crazy things you said
You left them running through my head
You're always there, you're everywhere
But right now I wish you were here

All those crazy things we did
Didn't think about it, just went with it
You're always there, you're everywhere
But right now I wish you were here

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here

No, I don't wanna let go, I just wanna let you know
That I never wanna let go, let go, oh, oh
No, I don't wanna let go, I just wanna let you know
That I never wanna let go, let go, let go, let go
Let go, let go, let go, let go, let go, let go
Let go, let go, let go

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here",0.0,6.0
