,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
10,Flatsound,"It's Sunday, April 19th and i miss you","when you were a child on the farm
you saw him pin her by the weight of his arms
so she left in the night when you were in bed
and took your trust when she left
you're already hurt
im scared that if you put
your trust in me i'll make it worse
i'll hurt you
i picked a flower from the stem
and watched it die in my hands
and i screamed, ""oh my god
i did it again, im destroying innocence
so i can't stay
my heart's too weak to think
about the way you use to say
i miss you",-0.800000011920929,0.800000011920929
11,Gabrielle Aplin,Salvation,"You are the avalanche
One world away
My make believing
While I'm wide awake
Just a trick of light
To bring me back around again
Those wild eyes
A psychedelic silhouette
I never meant to fall for you but I
Was buried underneath and
All that I could see was white
My salvation
My, my
My salvation
My, my
You are the snowstorm
I'm purified
The darkest fairytale
In the dead of night
Let the band play out
As I'm making my way home again
Glorious we transcend
Into a psychedelic silhouette
I never meant to fall for you but I
Was buried underneath and
All that I could see was white
My salvation
My, my
My salvation
My, my
My salvation
My, my
My salvation
My, my
My salvation
My, my
My salvation
My, my
My salvation
My, my
My salvation
My, my
",0.699999988079071,0.699999988079071
12,Gnash,I miss you,"[Intro]
I miss you, I miss you

[Verse 1]
Hello there
The angel from my nightmare
The shadow in the background of the morgue
The unsuspecting victim of darkness in the valley
We can live like Jack and Sally if we want
Where you can always find me
And we'll have Halloween on Christmas
And in the night we'll wish this never ends
We'll wish this never ends

[Interlude]
I miss you, I miss you
I miss you, I miss you

[Verse 2]
Where are you and I'm so sorry
I cannot sleep I cannot dream tonight
I need somebody and always
This sick strange darkness
Comes creeping on so haunting every time
And as I stare I counted
The webs from all the spiders
Catching things and eating their insides
Like indecision to call you
And hear your voice of treason
Will you come home and stop this pain tonight
Stop this pain

[Chorus]
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)

[Outro]
Don't waste your time on me you're already
The voice inside my head (I miss you, I miss you)",-0.5,3.5999999046325684
13,Hurts,Help,"Take my hand and lead the way
Out of the darkness and into the light of the day
And take me somewhere I'll be safe
Carry my lifeless body away from the pain
'Cause I know what I've been missing
And I know that I should try
But there's hope in this submission
And there's freedom in your eyes
And we cry for help
I'm sick and tired of being afraid
If I cry anymore then my tears will wash me away
But when I hear you call my name
I whisper the world that I never thought I'd ever say
And I hope to God you'll listen
And you'll keep me safe from harm
'Cause I found what I was missing
When I fell into your arms
And we cry for help
I can feel the darkness coming
And I'm afraid of myself
Call my name and I'll come running
'Cause I just need some help
I can feel the darkness coming
And I'm afraid of myself
Call my name and I'll come running
'Cause I just need some help",0.0,0.0
14,In Love with a Ghost,Flowers,"Up all night (all night, all night, all-)
Up all night (all night, all night, all-)
Up all night (all night, all night, all night)
Up all night (all night, all night, all-)

[Instrumental]

All of you [?]
I am into [?]
All of you [?]
I am into [?]

[Instrumental]

Up all night (all night, all night, all-)
Up all night (all night, all night, all-)
Up all night (all night, all night, all night)
Up all night (all night, all night, all-)",0.20000000298023224,1.2999999523162842
15,Joji,Will He,"I got knots all up in my chest (Up in my chest)
Just know I'm trying my best (I'm trying my best)
'Cause when you look (When you look)
When you laugh (When you laugh)
When you smile (When you smile)
I'll bring you back (Bring you back)
And now I'm sad (Now I'm sad)
And I'm a mess (And I'm a mess)
And now we high (Now we high)
That's why I left (why I left)
That's why I left
Will your tongue still remember
The taste of my lips? (My lips)
Will your shadow remember
The swing of my hips? (My hips)
Will your lover caress you
The way that I did? (I did)
Will you notice my charm if he
Slips up one bit? (One bit)
'Cause I don't need to know
I just wanna make sure you're okay (Okay)
I don't need to know
I just wanna make sure you're all safe
All safe, all safe
Will he play you those songs
Just the way that I did? (I did)
Will he play you so strong
Just the way that I did? (I did)
Yeah, yeah, yeah, yeah
Will he treat you like shit
Just the way that I did? (I did)
'Cause I don't blame ya
'Cause I don't need to know
I just want to make sure you're okay (Okay)
I don't need to know
I just want to make sure you're all safe
",0.20000000298023224,2.9000000953674316
16,Joji,Demons,"[Intro]
Yuh, got 'em
Sus, running
Fuck, got 'em
Look, spotted
Yuh, got 'em
Sus, running
Fuck, got 'em
Look, spotted

[Verse 1]
You're taking my heart, now
They're taking my heart, now
And I don't know why (Come)
And I don't know why (Come, come with me)

Alright, alright, alright, alright
Alright, alright, alright (Aye, aye, aye)
The demons told me everything
They whisper in the night (Aye, aye, aye)

[Chorus]
This is not a threat, I promise (Nope)
I promise
This is not a threat, I promise
It's a warning, baby, I just want you to know

[Verse 2]
That was when the ceiling caved in
When I'm falling in a trench, I'm behaving (Skrrt)
I'm behaving myself (Uh)
I'm behaving myself (Look, look, what, what)
We don’t gotta die so soon
So I just behave for you, for you, for you
We don’t gotta die so soon
So I just behave for–(Shh, quiet)

[Chorus]
This is not a threat, I promise (Nope)
I promise
This is not a threat, I promise (Yuh, yuh, yuh)
It's a warning, baby, I just want you to know

[Outro]
Please, just let me go
Let me go, I've seen enough
I've seen enough
I've seen enough
(That sounds good)",-0.20000000298023224,2.9000000953674316
17,Jordan Maxwell,Is it Too Much to Ask For,"[Verse] x4
Is it too much to ask for? Yeah
Can i put my lips on your skin baby?
Ask for
Yeah
Can i put my-
Is it too much to ask for? Oh, oh
Can i put my lips on your skin baby?
Ask for
Yeah
Can i put my-",-0.10000000149011612,0.8999999761581421
18,Lana Del Rey,Love,"Look at you kids with your vintage music
Comin' through satellites while cruisin'
You're part of the past, but now you're the future
Signals crossing can get confusing
It's enough just to make you feel crazy, crazy, crazy
Sometimes, it's enough just to make you feel crazy
You get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
Doesn't matter 'cause it's enough
To be young and in love
To be young and in love
Look at you kids, you know you're the coolest
The world is yours and you can't refuse it
Seen so much, you could get the blues
But that don't mean that you should abuse it
Though it's enough just to make you go crazy, crazy, crazy
I know, it's enough just to make you go crazy, crazy, crazy
But you get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
It don't matter because it's enough
To be young and in love
To be young and in love
Don't worry, baby
Don't worry, baby
And it's enough just to make me go crazy, crazy, crazy
It's enough just to make me go crazy, crazy, crazy
I get ready, I get all dressed up
To go nowhere in particular
It doesn't matter if I'm not enough
For the future or the things to come
'Cause I'm young and in love
I'm young and in love
Don't worry, baby
Don't worry, baby",0.30000001192092896,0.6000000238418579
19,Lana Del Rey,Yayo,"I like the snake on your tattoo
I like the Ivy and the
Ink blue, yayo, yeah you, yayo
You have to take me right now
From this dark trailer park
Life now, yayo, how now, yayo
Put me onto your black motorcycle
Fifties baby doll dress for my 'I do""
It only takes two hours to Nevada
I wear your sparkle
You call me your mama
Let me put on a show for you daddy
Let me put on a show
Let me put on a show for you tiger,
Let me put on a show
I need you like
A baby when I hold you
Like a drug
Like I told you
Yayo, yes you, yayo
Put me onto your black motorcycle
Fifties baby doll dress for my 'I do""
It only takes two hours to Nevada
I wear your sparkle
You call me your mama
Let me put on a show for you daddy
Let me put on a show
Let me put on a show for you tiger
Let me put on a show
Hello Heaven
You are a tunnel lined with yellow lights
On a dark night (Dark night)
Yayo, yes you, yayo
Put me onto your black motorcycle
Fifties baby doll dress for my 'I do""
It only takes two hours to Nevada
I wear your sparkle
You call me your mama
Let me put on a show for you daddy
Let me put on a show
Let me put on a show for you tiger
Let me put on a show
",0.10000000149011612,0.4000000059604645
